periodo,codigo_serie,afp,variable,valor
Jun.2010,PN01175MM,Integra,afiliados_miles,1173.688
Jun.2010,PN01176MM,Prima,afiliados_miles,1098.912
Jun.2010,PN01177MM,Profuturo,afiliados_miles,1029.009
Jun.2010,PN01179MM,Habitat,rentab_real_12m,0
Jun.2010,PN01180MM,Integra,rentab_real_12m,10.8518
Jul.2010,PN01168MM,Habitat,valor_fondo_mill_soles,0
Jul.2010,PN01169MM,Integra,valor_fondo_mill_soles,22543.0711499525
Jul.2010,PN01170MM,Prima,valor_fondo_mill_soles,22455.3261492743
Jul.2010,PN01171MM,Profuturo,valor_fondo_mill_soles,10698.4874044133
Jul.2010,PN01174MM,Habitat,afiliados_miles,0
Jul.2010,PN01175MM,Integra,afiliados_miles,1176.543
Jul.2010,PN01176MM,Prima,afiliados_miles,1102.005
Jul.2010,PN01177MM,Profuturo,afiliados_miles,1031.164
Jul.2010,PN01179MM,Habitat,rentab_real_12m,0
Jul.2010,PN01180MM,Integra,rentab_real_12m,11.4005
Ago.2010,PN01168MM,Habitat,valor_fondo_mill_soles,0
Ago.2010,PN01169MM,Integra,valor_fondo_mill_soles,23057.6769460309
Ago.2010,PN01170MM,Prima,valor_fondo_mill_soles,23005.0953171727
Ago.2010,PN01171MM,Profuturo,valor_fondo_mill_soles,10940.9320769491
Ago.2010,PN01174MM,Habitat,afiliados_miles,0
Ago.2010,PN01175MM,Integra,afiliados_miles,1180.314
Ago.2010,PN01176MM,Prima,afiliados_miles,1105.843
Ago.2010,PN01177MM,Profuturo,afiliados_miles,1033.582
Ago.2010,PN01179MM,Habitat,rentab_real_12m,0
Ago.2010,PN01180MM,Integra,rentab_real_12m,11.6166
Sep.2010,PN01168MM,Habitat,valor_fondo_mill_soles,0
Sep.2010,PN01169MM,Integra,valor_fondo_mill_soles,24481.1677637736
Sep.2010,PN01170MM,Prima,valor_fondo_mill_soles,24590.7784978873
Sep.2010,PN01171MM,Profuturo,valor_fondo_mill_soles,11668.2739056438
Sep.2010,PN01174MM,Habitat,afiliados_miles,0
Sep.2010,PN01175MM,Integra,afiliados_miles,1185.285
Sep.2010,PN01176MM,Prima,afiliados_miles,1110.105
Sep.2010,PN01177MM,Profuturo,afiliados_miles,1036.623
Sep.2010,PN01179MM,Habitat,rentab_real_12m,0
Sep.2010,PN01180MM,Integra,rentab_real_12m,10.8828
Oct.2010,PN01168MM,Habitat,valor_fondo_mill_soles,0
Oct.2010,PN01169MM,Integra,valor_fondo_mill_soles,25609.8848948151
Oct.2010,PN01170MM,Prima,valor_fondo_mill_soles,25815.1489702388
Oct.2010,PN01171MM,Profuturo,valor_fondo_mill_soles,12228.0233655411
Oct.2010,PN01174MM,Habitat,afiliados_miles,0
Oct.2010,PN01175MM,Integra,afiliados_miles,1191.195
Oct.2010,PN01176MM,Prima,afiliados_miles,1114.877
Oct.2010,PN01177MM,Profuturo,afiliados_miles,1039.071
Oct.2010,PN01179MM,Habitat,rentab_real_12m,0
Oct.2010,PN01180MM,Integra,rentab_real_12m,12.9454
Nov.2010,PN01168MM,Habitat,valor_fondo_mill_soles,0
Nov.2010,PN01169MM,Integra,valor_fondo_mill_soles,25577.7319203492
Nov.2010,PN01170MM,Prima,valor_fondo_mill_soles,26085.405123028
Nov.2010,PN01171MM,Profuturo,valor_fondo_mill_soles,12264.1034570286
Nov.2010,PN01174MM,Habitat,afiliados_miles,0
Nov.2010,PN01175MM,Integra,afiliados_miles,1197.32
Nov.2010,PN01176MM,Prima,afiliados_miles,1119.86
Nov.2010,PN01177MM,Profuturo,afiliados_miles,1042.167
Nov.2010,PN01179MM,Habitat,rentab_real_12m,0
Nov.2010,PN01180MM,Integra,rentab_real_12m,13.4513
Dic.2010,PN01168MM,Habitat,valor_fondo_mill_soles,0
Dic.2010,PN01169MM,Integra,valor_fondo_mill_soles,26327.0907402711
Dic.2010,PN01170MM,Prima,valor_fondo_mill_soles,27147.7004665067
Dic.2010,PN01171MM,Profuturo,valor_fondo_mill_soles,12702.1066784075
Dic.2010,PN01174MM,Habitat,afiliados_miles,0
Dic.2010,PN01175MM,Integra,afiliados_miles,1201.525
Dic.2010,PN01176MM,Prima,afiliados_miles,1124.457
Dic.2010,PN01177MM,Profuturo,afiliados_miles,1043.67
Dic.2010,PN01179MM,Habitat,rentab_real_12m,0
Dic.2010,PN01180MM,Integra,rentab_real_12m,14.0775
Ene.2011,PN01168MM,Habitat,valor_fondo_mill_soles,0
Ene.2011,PN01169MM,Integra,valor_fondo_mill_soles,25665.0214522437
Ene.2011,PN01170MM,Prima,valor_fondo_mill_soles,26526.2159861003
Ene.2011,PN01171MM,Profuturo,valor_fondo_mill_soles,12429.5236428898
Ene.2011,PN01174MM,Habitat,afiliados_miles,0
Ene.2011,PN01175MM,Integra,afiliados_miles,1207.042
Ene.2011,PN01176MM,Prima,afiliados_miles,1130.782
Ene.2011,PN01177MM,Profuturo,afiliados_miles,1046.642
Ene.2011,PN01179MM,Habitat,rentab_real_12m,0
Ene.2011,PN01180MM,Integra,rentab_real_12m,13.2927
Feb.2011,PN01168MM,Habitat,valor_fondo_mill_soles,0
Feb.2011,PN01169MM,Integra,valor_fondo_mill_soles,25722.9530095657
Feb.2011,PN01170MM,Prima,valor_fondo_mill_soles,26615.6990497956
Feb.2011,PN01171MM,Profuturo,valor_fondo_mill_soles,12462.449815496
Feb.2011,PN01174MM,Habitat,afiliados_miles,0
Feb.2011,PN01175MM,Integra,afiliados_miles,1213.854
Feb.2011,PN01176MM,Prima,afiliados_miles,1137.508
Feb.2011,PN01177MM,Profuturo,afiliados_miles,1050.591
Feb.2011,PN01179MM,Habitat,rentab_real_12m,0
Feb.2011,PN01180MM,Integra,rentab_real_12m,16.2652
Mar.2011,PN01168MM,Habitat,valor_fondo_mill_soles,0
Mar.2011,PN01169MM,Integra,valor_fondo_mill_soles,25317.1806747169
Mar.2011,PN01170MM,Prima,valor_fondo_mill_soles,26248.7574932717
Mar.2011,PN01171MM,Profuturo,valor_fondo_mill_soles,12323.4570525963
Mar.2011,PN01174MM,Habitat,afiliados_miles,0
Mar.2011,PN01175MM,Integra,afiliados_miles,1220.114
Mar.2011,PN01176MM,Prima,afiliados_miles,1144.128
Mar.2011,PN01177MM,Profuturo,afiliados_miles,1054.164
Mar.2011,PN01179MM,Habitat,rentab_real_12m,0
Mar.2011,PN01180MM,Integra,rentab_real_12m,10.652
Abr.2011,PN01168MM,Habitat,valor_fondo_mill_soles,0
Abr.2011,PN01169MM,Integra,valor_fondo_mill_soles,24838.6486050112
Abr.2011,PN01170MM,Prima,valor_fondo_mill_soles,25823.6913608103
Abr.2011,PN01171MM,Profuturo,valor_fondo_mill_soles,12091.167457179
Abr.2011,PN01174MM,Habitat,afiliados_miles,0
Abr.2011,PN01175MM,Integra,afiliados_miles,1226.4
Abr.2011,PN01176MM,Prima,afiliados_miles,1150.296
Abr.2011,PN01177MM,Profuturo,afiliados_miles,1057.685
Abr.2011,PN01179MM,Habitat,rentab_real_12m,0
Abr.2011,PN01180MM,Integra,rentab_real_12m,4.3676
May.2011,PN01168MM,Habitat,valor_fondo_mill_soles,0
May.2011,PN01169MM,Integra,valor_fondo_mill_soles,25246.7989244324
May.2011,PN01170MM,Prima,valor_fondo_mill_soles,26235.1431807563
May.2011,PN01171MM,Profuturo,valor_fondo_mill_soles,12285.6925525985
May.2011,PN01174MM,Habitat,afiliados_miles,0
May.2011,PN01175MM,Integra,afiliados_miles,1232.574
May.2011,PN01176MM,Prima,afiliados_miles,1155.621
May.2011,PN01177MM,Profuturo,afiliados_miles,1061.319
May.2011,PN01179MM,Habitat,rentab_real_12m,0
May.2011,PN01180MM,Integra,rentab_real_12m,8.5064
Jun.2011,PN01168MM,Habitat,valor_fondo_mill_soles,0
Jun.2011,PN01169MM,Integra,valor_fondo_mill_soles,24444.8346936199
Jun.2011,PN01170MM,Prima,valor_fondo_mill_soles,25278.7238303006
Jun.2011,PN01171MM,Profuturo,valor_fondo_mill_soles,11911.0530541546
Jun.2011,PN01174MM,Habitat,afiliados_miles,0
Jun.2011,PN01175MM,Integra,afiliados_miles,1238.816
Jun.2011,PN01176MM,Prima,afiliados_miles,1162.141
Jun.2011,PN01177MM,Profuturo,afiliados_miles,1064.922
Jun.2011,PN01179MM,Habitat,rentab_real_12m,0
Jun.2011,PN01180MM,Integra,rentab_real_12m,6.4827
Jul.2011,PN01168MM,Habitat,valor_fondo_mill_soles,0
Jul.2011,PN01169MM,Integra,valor_fondo_mill_soles,25367.4910432491
Jul.2011,PN01170MM,Prima,valor_fondo_mill_soles,26336.9488410816
Jul.2011,PN01171MM,Profuturo,valor_fondo_mill_soles,12376.6844006133
Jul.2011,PN01174MM,Habitat,afiliados_miles,0
Jul.2011,PN01175MM,Integra,afiliados_miles,1245.269
Jul.2011,PN01176MM,Prima,afiliados_miles,1167.864
Jul.2011,PN01177MM,Profuturo,afiliados_miles,1068.548
Jul.2011,PN01179MM,Habitat,rentab_real_12m,0
Jul.2011,PN01180MM,Integra,rentab_real_12m,6.8031
Ago.2011,PN01168MM,Habitat,valor_fondo_mill_soles,0
Ago.2011,PN01169MM,Integra,valor_fondo_mill_soles,25381.7429362651
Ago.2011,PN01170MM,Prima,valor_fondo_mill_soles,26269.4886326128
Ago.2011,PN01171MM,Profuturo,valor_fondo_mill_soles,12338.2289590769
Ago.2011,PN01174MM,Habitat,afiliados_miles,0
Ago.2011,PN01175MM,Integra,afiliados_miles,1251.797
Ago.2011,PN01176MM,Prima,afiliados_miles,1174.586
Ago.2011,PN01177MM,Profuturo,afiliados_miles,1073.047
Ago.2011,PN01179MM,Habitat,rentab_real_12m,0
Ago.2011,PN01180MM,Integra,rentab_real_12m,2.3936
Sep.2011,PN01168MM,Habitat,valor_fondo_mill_soles,0
Sep.2011,PN01169MM,Integra,valor_fondo_mill_soles,23313.2603410815
Sep.2011,PN01170MM,Prima,valor_fondo_mill_soles,24141.8718269021
Sep.2011,PN01171MM,Profuturo,valor_fondo_mill_soles,11535.7631142744
Sep.2011,PN01174MM,Habitat,afiliados_miles,0
Sep.2011,PN01175MM,Integra,afiliados_miles,1259.025
Sep.2011,PN01176MM,Prima,afiliados_miles,1183.087
Sep.2011,PN01177MM,Profuturo,afiliados_miles,1077.754
Sep.2011,PN01179MM,Habitat,rentab_real_12m,0
Sep.2011,PN01180MM,Integra,rentab_real_12m,-1.93
Oct.2011,PN01168MM,Habitat,valor_fondo_mill_soles,0
Oct.2011,PN01169MM,Integra,valor_fondo_mill_soles,24790.6359468397
Oct.2011,PN01170MM,Prima,valor_fondo_mill_soles,25641.6210747061
Oct.2011,PN01171MM,Profuturo,valor_fondo_mill_soles,12203.9181311713
Oct.2011,PN01174MM,Habitat,afiliados_miles,0
Oct.2011,PN01175MM,Integra,afiliados_miles,1266.616
Oct.2011,PN01176MM,Prima,afiliados_miles,1190.775
Oct.2011,PN01177MM,Profuturo,afiliados_miles,1083.111
Oct.2011,PN01179MM,Habitat,rentab_real_12m,0
Oct.2011,PN01180MM,Integra,rentab_real_12m,-9.7804
Nov.2011,PN01168MM,Habitat,valor_fondo_mill_soles,0
Nov.2011,PN01169MM,Integra,valor_fondo_mill_soles,24642.9156716303
Nov.2011,PN01170MM,Prima,valor_fondo_mill_soles,25502.7424992549
Nov.2011,PN01171MM,Profuturo,valor_fondo_mill_soles,12234.3345319462
Nov.2011,PN01174MM,Habitat,afiliados_miles,0
Nov.2011,PN01175MM,Integra,afiliados_miles,1274.215
Nov.2011,PN01176MM,Prima,afiliados_miles,1197.344
Nov.2011,PN01177MM,Profuturo,afiliados_miles,1088.256
Nov.2011,PN01179MM,Habitat,rentab_real_12m,0
Nov.2011,PN01180MM,Integra,rentab_real_12m,-9.7759
Dic.2011,PN01168MM,Habitat,valor_fondo_mill_soles,0
Dic.2011,PN01169MM,Integra,valor_fondo_mill_soles,24439.142
Dic.2011,PN01170MM,Prima,valor_fondo_mill_soles,25321.606
Dic.2011,PN01171MM,Profuturo,valor_fondo_mill_soles,12204.612
Dic.2011,PN01174MM,Habitat,afiliados_miles,0
Dic.2011,PN01175MM,Integra,afiliados_miles,1280.289
Dic.2011,PN01176MM,Prima,afiliados_miles,1203.363
Dic.2011,PN01177MM,Profuturo,afiliados_miles,1092.292
Dic.2011,PN01179MM,Habitat,rentab_real_12m,0
Dic.2011,PN01180MM,Integra,rentab_real_12m,-11.0815
Ene.2012,PN01168MM,Habitat,valor_fondo_mill_soles,0
Ene.2012,PN01169MM,Integra,valor_fondo_mill_soles,26003.4388506942
Ene.2012,PN01170MM,Prima,valor_fondo_mill_soles,26989.2099285714
Ene.2012,PN01171MM,Profuturo,valor_fondo_mill_soles,12968.9760234407
Ene.2012,PN01174MM,Habitat,afiliados_miles,0
Ene.2012,PN01175MM,Integra,afiliados_miles,1287.904
Ene.2012,PN01176MM,Prima,afiliados_miles,1210.9
Ene.2012,PN01177MM,Profuturo,afiliados_miles,1097.191
Ene.2012,PN01179MM,Habitat,rentab_real_12m,0
Ene.2012,PN01180MM,Integra,rentab_real_12m,-7.2652
Feb.2012,PN01168MM,Habitat,valor_fondo_mill_soles,0
Feb.2012,PN01169MM,Integra,valor_fondo_mill_soles,26618.9261255929
Feb.2012,PN01170MM,Prima,valor_fondo_mill_soles,27714.5283962499
Feb.2012,PN01171MM,Profuturo,valor_fondo_mill_soles,13268.4880021391
Feb.2012,PN01174MM,Habitat,afiliados_miles,0
Feb.2012,PN01175MM,Integra,afiliados_miles,1294.669
Feb.2012,PN01176MM,Prima,afiliados_miles,1218.476
Feb.2012,PN01177MM,Profuturo,afiliados_miles,1102.94
Feb.2012,PN01179MM,Habitat,rentab_real_12m,0
Feb.2012,PN01180MM,Integra,rentab_real_12m,-2.8265
Mar.2012,PN01168MM,Habitat,valor_fondo_mill_soles,0
Mar.2012,PN01169MM,Integra,valor_fondo_mill_soles,26818.5075044077
Mar.2012,PN01170MM,Prima,valor_fondo_mill_soles,28031.2907632583
Mar.2012,PN01171MM,Profuturo,valor_fondo_mill_soles,13401.670063044
Mar.2012,PN01174MM,Habitat,afiliados_miles,0
Mar.2012,PN01175MM,Integra,afiliados_miles,1303.172
Mar.2012,PN01176MM,Prima,afiliados_miles,1226.243
Mar.2012,PN01177MM,Profuturo,afiliados_miles,1108.882
Mar.2012,PN01179MM,Habitat,rentab_real_12m,0
Mar.2012,PN01180MM,Integra,rentab_real_12m,-1.0564
Abr.2012,PN01168MM,Habitat,valor_fondo_mill_soles,0
Abr.2012,PN01169MM,Integra,valor_fondo_mill_soles,26951.6061302989
Abr.2012,PN01170MM,Prima,valor_fondo_mill_soles,28264.8039172882
Abr.2012,PN01171MM,Profuturo,valor_fondo_mill_soles,13499.6167794804
Abr.2012,PN01174MM,Habitat,afiliados_miles,0
Abr.2012,PN01175MM,Integra,afiliados_miles,1310.248
Abr.2012,PN01176MM,Prima,afiliados_miles,1233.016
Abr.2012,PN01177MM,Profuturo,afiliados_miles,1114.635
Abr.2012,PN01179MM,Habitat,rentab_real_12m,0
Abr.2012,PN01180MM,Integra,rentab_real_12m,1.8744
May.2012,PN01168MM,Habitat,valor_fondo_mill_soles,0
May.2012,PN01169MM,Integra,valor_fondo_mill_soles,26199.5509684671
May.2012,PN01170MM,Prima,valor_fondo_mill_soles,27423.6677455893
May.2012,PN01171MM,Profuturo,valor_fondo_mill_soles,13174.8191032584
May.2012,PN01174MM,Habitat,afiliados_miles,0
May.2012,PN01175MM,Integra,afiliados_miles,1318.215
May.2012,PN01176MM,Prima,afiliados_miles,1240.832
May.2012,PN01177MM,Profuturo,afiliados_miles,1121.13
May.2012,PN01179MM,Habitat,rentab_real_12m,0
May.2012,PN01180MM,Integra,rentab_real_12m,-1.3075
Jun.2012,PN01168MM,Habitat,valor_fondo_mill_soles,0
Jun.2012,PN01169MM,Integra,valor_fondo_mill_soles,26585.8025014636
Jun.2012,PN01170MM,Prima,valor_fondo_mill_soles,27873.7831996053
Jun.2012,PN01171MM,Profuturo,valor_fondo_mill_soles,13345.3062384862
Jun.2012,PN01174MM,Habitat,afiliados_miles,0
Jun.2012,PN01175MM,Integra,afiliados_miles,1325.682
Jun.2012,PN01176MM,Prima,afiliados_miles,1247.85
Jun.2012,PN01177MM,Profuturo,afiliados_miles,1127.1
Jun.2012,PN01179MM,Habitat,rentab_real_12m,0
Jun.2012,PN01180MM,Integra,rentab_real_12m,0.6305
Jul.2012,PN01168MM,Habitat,valor_fondo_mill_soles,0
Jul.2012,PN01169MM,Integra,valor_fondo_mill_soles,26424.1615888448
Jul.2012,PN01170MM,Prima,valor_fondo_mill_soles,27766.2822881876
Jul.2012,PN01171MM,Profuturo,valor_fondo_mill_soles,13284.7132936842
Jul.2012,PN01174MM,Habitat,afiliados_miles,0
Jul.2012,PN01175MM,Integra,afiliados_miles,1333.538
Jul.2012,PN01176MM,Prima,afiliados_miles,1255.94
Jul.2012,PN01177MM,Profuturo,afiliados_miles,1134.16
Jul.2012,PN01179MM,Habitat,rentab_real_12m,0
Jul.2012,PN01180MM,Integra,rentab_real_12m,0.3866
Ago.2012,PN01168MM,Habitat,valor_fondo_mill_soles,0
Ago.2012,PN01169MM,Integra,valor_fondo_mill_soles,26694.937946232
Ago.2012,PN01170MM,Prima,valor_fondo_mill_soles,28078.1302445476
Ago.2012,PN01171MM,Profuturo,valor_fondo_mill_soles,13434.5196883473
Ago.2012,PN01174MM,Habitat,afiliados_miles,0
Ago.2012,PN01175MM,Integra,afiliados_miles,1343.354
Ago.2012,PN01176MM,Prima,afiliados_miles,1264.085
Ago.2012,PN01177MM,Profuturo,afiliados_miles,1141.914
Ago.2012,PN01179MM,Habitat,rentab_real_12m,0
Ago.2012,PN01180MM,Integra,rentab_real_12m,0.8037
Sep.2012,PN01168MM,Habitat,valor_fondo_mill_soles,0
Sep.2012,PN01169MM,Integra,valor_fondo_mill_soles,27629.255306748
Sep.2012,PN01170MM,Prima,valor_fondo_mill_soles,29065.4832721292
Sep.2012,PN01171MM,Profuturo,valor_fondo_mill_soles,13894.7680373663
Sep.2012,PN01174MM,Habitat,afiliados_miles,0
Sep.2012,PN01175MM,Integra,afiliados_miles,1356.81
Sep.2012,PN01176MM,Prima,afiliados_miles,1274.635
Sep.2012,PN01177MM,Profuturo,afiliados_miles,1153.976
Sep.2012,PN01179MM,Habitat,rentab_real_12m,0
Sep.2012,PN01180MM,Integra,rentab_real_12m,3.3348
Oct.2012,PN01168MM,Habitat,valor_fondo_mill_soles,0
Oct.2012,PN01169MM,Integra,valor_fondo_mill_soles,27669.7557726749
Oct.2012,PN01170MM,Prima,valor_fondo_mill_soles,29101.2104214054
Oct.2012,PN01171MM,Profuturo,valor_fondo_mill_soles,13962.46123003
Oct.2012,PN01174MM,Habitat,afiliados_miles,0
Oct.2012,PN01175MM,Integra,afiliados_miles,1355.926
Oct.2012,PN01176MM,Prima,afiliados_miles,1294.342
Oct.2012,PN01177MM,Profuturo,afiliados_miles,1153.235
Oct.2012,PN01179MM,Habitat,rentab_real_12m,0
Oct.2012,PN01180MM,Integra,rentab_real_12m,7.3621
Nov.2012,PN01168MM,Habitat,valor_fondo_mill_soles,0
Nov.2012,PN01169MM,Integra,valor_fondo_mill_soles,27973.2700872909
Nov.2012,PN01170MM,Prima,valor_fondo_mill_soles,29455.9945162498
Nov.2012,PN01171MM,Profuturo,valor_fondo_mill_soles,14084.8823967648
Nov.2012,PN01174MM,Habitat,afiliados_miles,0
Nov.2012,PN01175MM,Integra,afiliados_miles,1355.011
Nov.2012,PN01176MM,Prima,afiliados_miles,1319.174
Nov.2012,PN01177MM,Profuturo,afiliados_miles,1152.841
Nov.2012,PN01179MM,Habitat,rentab_real_12m,0
Nov.2012,PN01180MM,Integra,rentab_real_12m,6.3614
Dic.2012,PN01168MM,Habitat,valor_fondo_mill_soles,0
Dic.2012,PN01169MM,Integra,valor_fondo_mill_soles,28648.0424701848
Dic.2012,PN01170MM,Prima,valor_fondo_mill_soles,30221.1253962791
Dic.2012,PN01171MM,Profuturo,valor_fondo_mill_soles,14374.8158154541
Dic.2012,PN01174MM,Habitat,afiliados_miles,0
Dic.2012,PN01175MM,Integra,afiliados_miles,1354.386
Dic.2012,PN01176MM,Prima,afiliados_miles,1339.18
Dic.2012,PN01177MM,Profuturo,afiliados_miles,1152.826
Dic.2012,PN01179MM,Habitat,rentab_real_12m,0
Dic.2012,PN01180MM,Integra,rentab_real_12m,8.4508
Ene.2013,PN01168MM,Habitat,valor_fondo_mill_soles,0
Ene.2013,PN01169MM,Integra,valor_fondo_mill_soles,29405.2361076181
Ene.2013,PN01170MM,Prima,valor_fondo_mill_soles,31066.8785951179
Ene.2013,PN01171MM,Profuturo,valor_fondo_mill_soles,14788.3496532085
Ene.2013,PN01174MM,Habitat,afiliados_miles,0
Ene.2013,PN01175MM,Integra,afiliados_miles,1353.581
Ene.2013,PN01176MM,Prima,afiliados_miles,1365.938
Ene.2013,PN01177MM,Profuturo,afiliados_miles,1153.038
Ene.2013,PN01179MM,Habitat,rentab_real_12m,0
Ene.2013,PN01180MM,Integra,rentab_real_12m,8.3833
Feb.2013,PN01168MM,Habitat,valor_fondo_mill_soles,0
Feb.2013,PN01169MM,Integra,valor_fondo_mill_soles,29319.8105111911
Feb.2013,PN01170MM,Prima,valor_fondo_mill_soles,31119.4037421406
Feb.2013,PN01171MM,Profuturo,valor_fondo_mill_soles,14847.6937155721
Feb.2013,PN01174MM,Habitat,afiliados_miles,0
Feb.2013,PN01175MM,Integra,afiliados_miles,1352.519
Feb.2013,PN01176MM,Prima,afiliados_miles,1390.039
Feb.2013,PN01177MM,Profuturo,afiliados_miles,1152.461
Feb.2013,PN01179MM,Habitat,rentab_real_12m,0
Feb.2013,PN01180MM,Integra,rentab_real_12m,4.5887
Mar.2013,PN01168MM,Habitat,valor_fondo_mill_soles,0
Mar.2013,PN01169MM,Integra,valor_fondo_mill_soles,29606.5275025651
Mar.2013,PN01170MM,Prima,valor_fondo_mill_soles,31379.4666708989
Mar.2013,PN01171MM,Profuturo,valor_fondo_mill_soles,15039.0365606434
Mar.2013,PN01174MM,Habitat,afiliados_miles,0
Mar.2013,PN01175MM,Integra,afiliados_miles,1352.026
Mar.2013,PN01176MM,Prima,afiliados_miles,1416.353
Mar.2013,PN01177MM,Profuturo,afiliados_miles,1152.009
Mar.2013,PN01179MM,Habitat,rentab_real_12m,0
Mar.2013,PN01180MM,Integra,rentab_real_12m,4.2507
Abr.2013,PN01168MM,Habitat,valor_fondo_mill_soles,0
Abr.2013,PN01169MM,Integra,valor_fondo_mill_soles,29721.6097636983
Abr.2013,PN01170MM,Prima,valor_fondo_mill_soles,31228.7560915483
Abr.2013,PN01171MM,Profuturo,valor_fondo_mill_soles,15030.3659651644
Abr.2013,PN01174MM,Habitat,afiliados_miles,0
Abr.2013,PN01175MM,Integra,afiliados_miles,1350.876
Abr.2013,PN01176MM,Prima,afiliados_miles,1443.911
Abr.2013,PN01177MM,Profuturo,afiliados_miles,1151.316
Abr.2013,PN01179MM,Habitat,rentab_real_12m,0
Abr.2013,PN01180MM,Integra,rentab_real_12m,3.9827
May.2013,PN01168MM,Habitat,valor_fondo_mill_soles,0
May.2013,PN01169MM,Integra,valor_fondo_mill_soles,29089.3985170919
May.2013,PN01170MM,Prima,valor_fondo_mill_soles,30378.8851796815
May.2013,PN01171MM,Profuturo,valor_fondo_mill_soles,14703.8803355426
May.2013,PN01174MM,Habitat,afiliados_miles,0
May.2013,PN01175MM,Integra,afiliados_miles,1350.653
May.2013,PN01176MM,Prima,afiliados_miles,1471.296
May.2013,PN01177MM,Profuturo,afiliados_miles,1151.36
May.2013,PN01179MM,Habitat,rentab_real_12m,0
May.2013,PN01180MM,Integra,rentab_real_12m,6.6483
Jun.2013,PN01168MM,Habitat,valor_fondo_mill_soles,0.0028703933324
Jun.2013,PN01169MM,Integra,valor_fondo_mill_soles,28416.6635595262
Jun.2013,PN01170MM,Prima,valor_fondo_mill_soles,29460.9580522829
